sample	G000008685	G000012065	G000012085	G000019685	G000019705	G000181895	G000222305	G000300045	G000304735	G000445425	G000500045	G000500065	G000500975	G000501015	G000501155	G000501215	G000501235	G000501275	G000501595	G000501615	G000501675	G000501695	G000501735	G000501755	G000501875	G000501895	G000501915	G000502095	G000523535	G000568675	G000568715	G000568735	G000568755	G000568775	G000568795	G000691545	G000714705	G000739475	G000956315	G001598195	G001660005	G001922545	G001936255
G000500045	0.18331149045246675	0.125068367464087	0.1235038483166111	0.10445170695444417	0.10140585520360035	0.18168135030397525	0.1844552421527602	0.17845219899794473	0.18014334273862942	0.14140355380252567	0.0	0.10342776656425257	0.17964937172669404	0.18168135030397525	0.18141890931546312	0.18115897366472666	0.18115897366472666	0.18359294389370384	0.18168135030397525	0.18039372454331148	0.18168135030397525	0.18168135030397525	0.18248420820599642	0.18064642733961156	0.18014334273862942	0.18090149524762822	0.18039372454331148	0.1856493351152405	0.10472640614460482	0.12875631037814894	0.10516092757601214	0.12489412035102787	0.1378550772344701	0.12801073881277092	0.1282440919176605	0.17868747139862406	0.18039372454331148	0.18039372454331148	0.1244459686737237	0.12705839269615404	0.12705839269615404	0.18168135030397525	0.1378550772344701
G000500065	0.17556471639782867	0.1258478839808308	0.12255961176923413	0.04015020362105448	0.04158075588274446	0.17146052270908962	0.17642117627437204	0.17514631886777565	0.1759895997090548	0.14247700921713735	0.10342776656425257	0.0	0.17276165040318747	0.17333868898960092	0.1759895997090548	0.17373022502183444	0.1741274234048088	0.1753547194971926	0.17238357846784702	0.17257196473927572	0.17333868898960092	0.17514631886777565	0.17201063269440675	0.17333868898960092	0.1753547194971926	0.17514631886777565	0.17556471639782867	0.1779876458729147	0.039908555502258136	0.1269462095097379	0.03934879790130419	0.12376988550187895	0.13474965273114503	0.12739760173736814	0.12642841684860384	0.17514631886777565	0.17514631886777565	0.1766395421267748	0.12468641108437639	0.1279720308217671	0.12785621974613215	0.17276165040318747	0.13574763728527395
G000500975	0.07655358675550472	0.17109979570532063	0.16804951852503003	0.1721964736441023	0.16970233337439367	0.07253195830159631	0.07719314553609002	0.026088889153757622	0.06371439837766024	0.17708157002767821	0.17964937172669404	0.17276165040318747	0.0	0.013783243286148883	0.016521454221585352	0.008365739679086381	0.005647057135712896	0.015370920083455752	0.013527719696574625	0.007260719488032308	0.013700138222153768	0.014594968441896672	0.017005073805246296	0.01815057783979035	0.016493202655736172	0.014945738940815745	0.015602697994063885	0.07942408899474585	0.17164267391763133	0.1753547194971926	0.17373022502183444	0.16919601735379686	0.18014334273862942	0.1745304529222208	0.17333868898960092	0.026088889153757622	0.01678842454804419	0.06673717253602907	0.16953252701278054	0.17556471639782867	0.17577633459464348	0.015702786552081904	0.1721964736441023
G000501015	0.07560192837356527	0.17238357846784702	0.16953252701278054	0.17238357846784702	0.1721964736441023	0.07044760238402858	0.07597874365660429	0.025232518311941177	0.0634554589432319	0.1779876458729147	0.18168135030397525	0.17333868898960092	0.013783243286148883	0.0	0.014064985243939732	0.012579877056093869	0.011912225371053964	0.005977321478825792	0.004495252978461317	0.012308712587508541	0.004115264674758645	0.011004012442000555	0.014482132516390744	0.017383721510386696	0.014628217873321248	0.014344684631664939	0.014905183918410225	0.07909037960139642	0.17201063269440675	0.17514631886777565	0.17295265378610025	0.17056741044833645	0.17964937172669404	0.1745304529222208	0.17432819842717817	0.025232518311941177	0.015452423320375552	0.0665607225385274	0.1703922100111015	0.1759895997090548	0.17620453797809976	0.014558983576072881	0.17373022502183444
G000501155	0.07684546315125895	0.171279568592972	0.16902928866424327	0.17708157002767821	0.17314499360718627	0.07229807418648082	0.07817365249636965	0.02797342755592458	0.0657300374629709	0.1768596637421287	0.18141890931546312	0.1759895997090548	0.016521454221585352	0.014064985243939732	0.0	0.01685607450474258	0.015886044491222107	0.015703785398847314	0.013307684646851947	0.01610242344459334	0.013641285963817973	0.004774750263246141	0.0180167625875014	0.019769758324291287	0.008135845084528137	0.016727920769154525	0.017545020297532465	0.07987039813610275	0.17577633459464348	0.17577633459464348	0.1773052906145417	0.170045114455863	0.18090149524762822	0.1749394900626572	0.17392810604572706	0.027969631286476226	0.017576122153596052	0.06841189159113392	0.1703922100111015	0.17642117627437204	0.17642117627437204	0.017491275687441687	0.17238357846784702
G000501215	0.07561440798606034	0.17295265378610025	0.170045114455863	0.17333868898960092	0.1718260384060959	0.07101908559894154	0.07692380948810329	0.02641565522419176	0.06425634563936988	0.1773052906145417	0.18115897366472666	0.17373022502183444	0.008365739679086381	0.012579877056093869	0.01685607450474258	0.0	0.005194434094647038	0.013924187764361218	0.012610107936262382	0.0041063380856459775	0.01233517447713206	0.013731642074434003	0.015994402929424445	0.018465562369421984	0.017067080777956267	0.014626342912954504	0.015338623116642025	0.07898469871036129	0.17257196473927572	0.17642117627437204	0.17432819842717817	0.17146052270908962	0.1798952390351396	0.17432819842717817	0.17577633459464348	0.02641213277717358	0.016234798472572476	0.06694675587579513	0.17074373172604929	0.1759895997090548	0.17577633459464348	0.01510218773205707	0.1735337594722245
G000501235	0.07486917945071903	0.1735337594722245	0.1702181160447812	0.17333868898960092	0.17238357846784702	0.06953887411798687	0.07536586091357744	0.025763838589886956	0.06351189227589715	0.17868747139862406	0.18115897366472666	0.1741274234048088	0.005647057135712896	0.011912225371053964	0.015886044491222107	0.005194434094647038	0.0	0.013526403775539597	0.011802715553208554	0.004095360156172956	0.011684575388688834	0.01266907691374819	0.014410259339104892	0.0172686182552525	0.01622758933236701	0.013854683641918664	0.014450562996195071	0.07862136176192858	0.17295265378610025	0.17577633459464348	0.1741274234048088	0.17146052270908962	0.18039372454331148	0.17514631886777565	0.17473420919524163	0.025764691725772004	0.01553728488158368	0.0661711312568638	0.17201063269440675	0.1766395421267748	0.1766395421267748	0.013569885077454491	0.17392810604572706
G000501275	0.07653423528825065	0.17333868898960092	0.170045114455863	0.1741274234048088	0.17333868898960092	0.07203864588268816	0.0772195603112289	0.02719367730395783	0.06501737420883869	0.17892478797833045	0.18359294389370384	0.1753547194971926	0.015370920083455752	0.005977321478825792	0.015703785398847314	0.013924187764361218	0.013526403775539597	0.0	0.006163485832241911	0.013621862375661542	0.005929864291586706	0.012332729998937086	0.01619672691132168	0.01901283245088836	0.015675341026147982	0.015871917009162795	0.016578620225504936	0.07971844084256419	0.17392810604572706	0.1753547194971926	0.17514631886777565	0.17201063269440675	0.18115897366472666	0.1745304529222208	0.17514631886777565	0.027192762902982115	0.017006688610413545	0.06836852216990363	0.17092118849713134	0.17577633459464348	0.17620453797809976	0.016199296682804953	0.17577633459464348
G000501595	0.0741965540877817	0.17276165040318747	0.1702181160447812	0.17276165040318747	0.17201063269440675	0.06995891378449537	0.07520547453518767	0.025118976242886615	0.06310338564674356	0.17775829698374046	0.18168135030397525	0.17238357846784702	0.013527719696574625	0.004495252978461317	0.013307684646851947	0.012610107936262382	0.011802715553208554	0.006163485832241911	0.0	0.012087753243632315	0.004377841168048624	0.010482961437327187	0.013628040115580164	0.016123392294658423	0.014007980454952884	0.01391610128799381	0.013776561604250337	0.077685862986139	0.17109979570532063	0.1753547194971926	0.17257196473927572	0.17074373172604929	0.1798952390351396	0.17473420919524163	0.1745304529222208	0.025118976242886615	0.015139835526619683	0.06614002328399471	0.17146052270908962	0.17620453797809976	0.1759895997090548	0.013425394307419736	0.17432819842717817
G000501615	0.07515016852118239	0.17276165040318747	0.16953252701278054	0.17238357846784702	0.17164267391763133	0.07027687256389858	0.07612453655155627	0.025877619827772702	0.06356035682161654	0.1779876458729147	0.18039372454331148	0.17257196473927572	0.007260719488032308	0.012308712587508541	0.01610242344459334	0.0041063380856459775	0.004095360156172956	0.013621862375661542	0.012087753243632315	0.0	0.012096982343993257	0.013128632827327347	0.015194525188367725	0.01751231094116057	0.016270373055993215	0.01385110426302083	0.014650264364441612	0.07853125146185236	0.171279568592972	0.17556471639782867	0.17295265378610025	0.17056741044833645	0.1798952390351396	0.1749394900626572	0.17473420919524163	0.02587847773136931	0.015623563775373661	0.06631825880206443	0.171279568592972	0.17620453797809976	0.17620453797809976	0.014360362168569951	0.17373022502183444
