sample	G000006965	G000016285	G000017145	G000018545	G000092025	G000092045	G000247475	G000261485	G000300855	G000312665	G000330885	G000379605	G000426285	G000517605	G000518585	G000518785	G000621665	G000696095	G000697965	G000722615	G000731315	G000739935	G000744505	G000745655	G000745725	G000745735	G000757525	G000816845	G000949895	G000967425	G001005825	G001424985	G001426665	G001427625	G001542405	G001652565	G001687365	G001695855	G001889105
G000518785	0.1682104193809394	0.17577633459464348	0.1779876458729147	0.1647276191883803	0.17201063269440675	0.16430399060142298	0.142157045144373	0.170045114455863	0.14582031807795348	0.17753085588215212	0.16664205559826184	0.15966813605239916	0.16970233337439367	0.16138039306582797	0.17708157002767821	0.0	0.17276165040318747	0.1661883740258039	0.1608803419731769	0.15478339517664108	0.1580549842767962	0.1791641851338034	0.1669486945378944	0.17056741044833645	0.16788954902778874	0.1675723607907451	0.1657420057279717	0.17295265378610025	0.17074373172604929	0.16633877667064	0.16227770551097054	0.15380468488529486	0.16725876991087307	0.171279568592972	0.1766395421267748	0.15538746269018533	0.15652995410767634	0.1606336444012858	0.16804951852503003
G000621665	0.18820810857879489	0.16741512086339316	0.1937778183340616	0.1872199929290459	0.17845219899794473	0.18504571614222765	0.1791641851338034	0.1892337414782933	0.17392810604572706	0.18854567604447092	0.1779876458729147	0.18303292269877824	0.17892478797833045	0.1856493351152405	0.17964937172669404	0.17276165040318747	0.0	0.18504571614222765	0.1872199929290459	0.18820810857879489	0.1773052906145417	0.18331149045246664	0.18275718116330775	0.18854567604447092	0.1856493351152405	0.18888751656182956	0.18275718116330775	0.19029990407213082	0.18168135030397525	0.18416475533750087	0.18090149524762822	0.1753547194971926	0.1853458454503889	0.1759895997090548	0.1914099891957548	0.18331149045246664	0.18359294389370384	0.1862667075262454	0.18595626246076324
G000696095	0.17620453797809976	0.18303292269877824	0.18141890931546312	0.16936375927744107	0.1745304529222208	0.15548941969248709	0.16725876991087307	0.1759895997090548	0.17074373172604929	0.16919601735379686	0.1298090947343027	0.1671032977917043	0.12211464810846351	0.15140915690968237	0.18248420820599642	0.1661883740258039	0.18504571614222765	0.0	0.17074373172604929	0.17775829698374046	0.1650136761971147	0.18595626246076324	0.15488317272539354	0.16176141703058444	0.11800715860736666	0.12357012687580593	0.17238357846784702	0.1626713117108778	0.14961311762916385	0.17892478797833045	0.170045114455863	0.16227770551097054	0.1721964736441023	0.17556471639782867	0.16253948943952423	0.16649000080894194	0.16679495035099368	0.17708157002767821	0.1718260384060959
G000697965	0.14738379744492414	0.1868984853325918	0.15862046467975388	0.14293111769689282	0.17642117627437204	0.1660387838683004	0.170045114455863	0.1536129770246426	0.16936375927744107	0.17432819842717817	0.1698731914198408	0.15304559133900408	0.16970233337439367	0.16588999734008647	0.1822139479416005	0.1608803419731769	0.1872199929290459	0.17074373172604929	0.0	0.16919601735379686	0.1660387838683004	0.1892337414782933	0.16725876991087307	0.171279568592972	0.1703922100111015	0.16853505965765858	0.1779876458729147	0.1749394900626572	0.18090149524762822	0.17295265378610025	0.16869882182710327	0.14776917828934155	0.16075672001725017	0.17556471639782867	0.1671032977917043	0.15019914925654398	0.15579753779692973	0.12022291559356746	0.14510516633420534
G000722615	0.1759895997090548	0.1875453682558158	0.18595626246076324	0.17109979570532052	0.17556471639782867	0.1721964736441023	0.16544837310472815	0.18039372454331148	0.16125453564352632	0.18168135030397525	0.17940570024810665	0.17164267391763133	0.1791641851338034	0.17201063269440675	0.18331149045246675	0.15478339517664108	0.18820810857879489	0.17775829698374046	0.16919601735379686	0.0	0.1579432496359754	0.1798952390351396	0.1759895997090548	0.171279568592972	0.17577633459464348	0.18168135030397525	0.16201836329644703	0.18090149524762822	0.17333868898960092	0.14510516633420534	0.15884990402772292	0.1669486945378944	0.17276165040318747	0.1735337594722245	0.1773052906145417	0.16633877667064	0.17276165040318747	0.1721964736441023	0.17432819842717817
G000731315	0.1791641851338034	0.18141890931546312	0.1822139479416005	0.17392810604572706	0.16741512086339316	0.16240828934925144	0.16679495035099368	0.1766395421267748	0.1675723607907451	0.17964937172669404	0.1675723607907451	0.16201836329644703	0.1698731914198408	0.15884990402772292	0.17642117627437204	0.1580549842767962	0.1773052906145417	0.1650136761971147	0.1660387838683004	0.1579432496359754	0.0	0.1779876458729147	0.1626713117108778	0.1675723607907451	0.16679495035099368	0.17333868898960092	0.13641559244920665	0.17238357846784702	0.17276165040318747	0.1636120053164013	0.15011467965647363	0.16458568961130549	0.17056741044833645	0.1721964736441023	0.170045114455863	0.16444448255721478	0.16725876991087307	0.17074373172604929	0.17577633459464348
G000739935	0.19504493576192095	0.15706510564175813	0.1997626761158554	0.19419357474022803	0.10719214264579524	0.18504571614222765	0.17708157002767821	0.18888751656182956	0.1759895997090548	0.18854567604447092	0.1875453682558158	0.1856493351152405	0.1875453682558158	0.18168135030397525	0.14042906250930987	0.1791641851338034	0.18331149045246664	0.18595626246076324	0.1892337414782933	0.1798952390351396	0.1779876458729147	0.0	0.1862667075262454	0.1868984853325918	0.1856493351152405	0.18993981231191792	0.19179042750957842	0.19461587627164578	0.1054601838326541	0.18658075319529022	0.18416475533750087	0.17964937172669404	0.18303292269877824	0.15739118406291952	0.19029990407213082	0.1895844665761487	0.15695725274210903	0.18888751656182956	0.19548097665846076
G000744505	0.1745304529222208	0.1862667075262454	0.18387734439954817	0.170045114455863	0.1749394900626572	0.13514466272197756	0.1759895997090548	0.17514631886777565	0.1702181160447812	0.15772111250177923	0.1568498143377074	0.16919601735379686	0.1580549842767962	0.1319495399272197	0.17940570024810665	0.1669486945378944	0.18275718116330775	0.15488317272539354	0.16725876991087307	0.1759895997090548	0.1626713117108778	0.1862667075262454	0.0	0.1509710104330262	0.15954976568840207	0.16125453564352632	0.17109979570532063	0.15221545707893214	0.18194634616898941	0.17892478797833045	0.1675723607907451	0.1661883740258039	0.17238357846784702	0.17314499360718627	0.15132097959474533	0.16773050001195755	0.1702181160447812	0.17074373172604929	0.17473420919524163
G000745655	0.18064642733961156	0.1872199929290459	0.1856493351152405	0.17620453797809976	0.18359294389370384	0.15409472671679736	0.17238357846784702	0.1822139479416005	0.1703922100111015	0.14761439353430483	0.16416420643371987	0.17056741044833645	0.16374902922527812	0.14944789663495472	0.1853458454503889	0.17056741044833645	0.18854567604447092	0.16176141703058444	0.171279568592972	0.171279568592972	0.1675723607907451	0.1868984853325918	0.1509710104330262	0.0	0.16679495035099368	0.16388673278008614	0.1822139479416005	0.153517612256729	0.1856493351152405	0.178218935331392	0.17276165040318747	0.17514631886777565	0.1735337594722245	0.18504571614222765	0.14054905923376748	0.17333868898960092	0.1682104193809394	0.1773052906145417	0.17964937172669404
G000745725	0.1766395421267748	0.18194634616898941	0.1853458454503889	0.17164267391763133	0.17620453797809976	0.1575007278903846	0.1749394900626572	0.1798952390351396	0.17333868898960092	0.1703922100111015	0.11696012765005037	0.17164267391763133	0.13026643577957087	0.15717337629230466	0.18595626246076324	0.16788954902778874	0.1856493351152405	0.11800715860736666	0.1703922100111015	0.17577633459464348	0.16679495035099368	0.1856493351152405	0.15954976568840207	0.16679495035099368	0.0	0.09717999249546883	0.17373022502183444	0.16633877667064	0.1753547194971926	0.18275718116330775	0.1735337594722245	0.16788954902778874	0.17577633459464348	0.1759895997090548	0.16430399060142298	0.1675723607907451	0.16936375927744107	0.17333868898960092	0.17392810604572706
